number,value,datetime_start,datetime_complete,duration,params_lgbm_learning_rate,params_lgbm_n_estimators,params_lgbm_num_leaves,params_lgbm_subsample,params_model,params_rf_max_depth,params_rf_min_samples_leaf,params_rf_min_samples_split,params_rf_n_estimators,params_xgb_colsample_bytree,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_n_estimators,params_xgb_reg_alpha,params_xgb_reg_lambda,params_xgb_subsample,state
0,-26.79694299098593,2025-03-25 09:22:40.399692,2025-03-25 09:23:32.779506,0 days 00:00:52.379814,,,,,RandomForest,20.0,2.0,2.0,100.0,,,,,,,,COMPLETE
1,-30.866712189990707,2025-03-25 09:23:32.779506,2025-03-25 09:23:35.536308,0 days 00:00:02.756802,,,,,LinearRegression,,,,,,,,,,,,COMPLETE
2,-26.59337068774809,2025-03-25 09:23:35.538311,2025-03-25 09:24:39.268061,0 days 00:01:03.729750,,,,,RandomForest,20.0,3.0,3.0,100.0,,,,,,,,COMPLETE
3,-27.099087962029454,2025-03-25 09:24:39.268061,2025-03-25 09:24:40.935530,0 days 00:00:01.667469,0.2,150.0,20.0,0.8999999999999999,LightGBM,,,,,,,,,,,,COMPLETE
4,-26.80122202924112,2025-03-25 09:24:40.935530,2025-03-25 09:24:42.008932,0 days 00:00:01.073402,0.15000000000000002,50.0,30.0,0.7999999999999999,LightGBM,,,,,,,,,,,,COMPLETE
5,-26.983075317533277,2025-03-25 09:24:42.010934,2025-03-25 09:24:42.968094,0 days 00:00:00.957160,0.05,50.0,30.0,0.7,LightGBM,,,,,,,,,,,,COMPLETE
6,-27.241427724720698,2025-03-25 09:24:42.970092,2025-03-25 09:24:44.745574,0 days 00:00:01.775482,,,,,XGBoost,,,,,1.0,0.2,5.0,150.0,0.6532384961523245,1.6458104905914697,0.8999999999999999,COMPLETE
7,-30.866712189990707,2025-03-25 09:24:44.745574,2025-03-25 09:24:46.393521,0 days 00:00:01.647947,,,,,LinearRegression,,,,,,,,,,,,COMPLETE
8,-24.73534873302631,2025-03-25 09:24:46.395513,2025-03-25 09:47:36.589479,0 days 00:22:50.193966,,,,,RandomForest,,1.0,4.0,100.0,,,,,,,,COMPLETE
9,-30.866712189990707,2025-03-25 09:47:36.590409,2025-03-25 09:47:39.118649,0 days 00:00:02.528240,,,,,LinearRegression,,,,,,,,,,,,COMPLETE
10,-30.866712189990707,2025-03-25 09:47:39.118649,2025-03-25 09:47:43.490651,0 days 00:00:04.372002,,,,,LinearRegression,,,,,,,,,,,,COMPLETE
11,-30.866712189990707,2025-03-25 09:47:43.492067,2025-03-25 09:47:46.234879,0 days 00:00:02.742812,,,,,LinearRegression,,,,,,,,,,,,COMPLETE
12,-30.866712189990707,2025-03-25 09:47:46.234879,2025-03-25 09:47:47.738361,0 days 00:00:01.503482,,,,,LinearRegression,,,,,,,,,,,,COMPLETE
13,-30.866712189990707,2025-03-25 09:47:47.738361,2025-03-25 09:47:49.339520,0 days 00:00:01.601159,,,,,LinearRegression,,,,,,,,,,,,COMPLETE
14,-28.184857136990473,2025-03-25 09:47:49.342518,2025-03-25 09:47:50.019448,0 days 00:00:00.676930,,,,,XGBoost,,,,,0.7,0.05,3.0,50.0,0.10735826161640247,0.11039415992558839,0.7,COMPLETE
15,-30.866712189990707,2025-03-25 09:47:50.019448,2025-03-25 09:47:51.551529,0 days 00:00:01.532081,,,,,LinearRegression,,,,,,,,,,,,COMPLETE
16,-30.866712189990707,2025-03-25 09:47:51.551529,2025-03-25 09:47:53.093919,0 days 00:00:01.542390,,,,,LinearRegression,,,,,,,,,,,,COMPLETE
17,-30.866712189990707,2025-03-25 09:47:53.097781,2025-03-25 09:47:54.861553,0 days 00:00:01.763772,,,,,LinearRegression,,,,,,,,,,,,COMPLETE
18,-27.38225188562404,2025-03-25 09:47:54.864201,2025-03-25 09:47:55.658161,0 days 00:00:00.793960,,,,,XGBoost,,,,,0.7,0.05,6.0,50.0,4.249999131432208,4.3232581157774765,1.0,COMPLETE
19,-30.866712189990707,2025-03-25 09:47:55.658161,2025-03-25 09:47:57.515782,0 days 00:00:01.857621,,,,,LinearRegression,,,,,,,,,,,,COMPLETE
20,-30.866712189990707,2025-03-25 09:47:57.515782,2025-03-25 09:47:59.070157,0 days 00:00:01.554375,,,,,LinearRegression,,,,,,,,,,,,COMPLETE
21,-30.866712189990707,2025-03-25 09:47:59.072158,2025-03-25 09:48:00.861992,0 days 00:00:01.789834,,,,,LinearRegression,,,,,,,,,,,,COMPLETE
